wlan.sa,wlan_radio.signal_dbm,wlan.fc.type_subtype
"b2:94:70:4e:37:67","-56","4"
"b2:94:70:4e:37:67","-58","4"
"b2:94:70:4e:37:67","-58","4"
"b2:94:70:4e:37:67","-56","4"
"dc:a6:32:61:a7:01","-71","4"
"dc:a6:32:61:a7:01","-62","4"
"dc:a6:32:61:a7:01","-65","4"
"dc:a6:32:61:a7:01","-62","4"
"dc:a6:32:61:a7:01","-61","4"
"dc:a6:32:61:a7:01","-60","4"
"dc:a6:32:61:a7:01","-55","4"
"dc:a6:32:61:a7:01","-57","4"
"dc:a6:32:61:a7:01","-56","4"
"dc:a6:32:61:a7:01","-57","4"
"dc:a6:32:61:a7:01","-52","4"
"dc:a6:32:61:a7:01","-55","4"
"dc:a6:32:61:a7:01","-54","4"
"dc:a6:32:61:a7:01","-36","4"
"d2:0e:c3:03:53:70","-53","4"
"d2:0e:c3:03:53:70","-53","4"
"d2:0e:c3:03:53:70","-53","4"
"d2:0e:c3:03:53:70","-53","4"
"d2:0e:c3:03:53:70","-52","4"
"d2:0e:c3:03:53:70","-52","4"
"d2:0e:c3:03:53:70","-54","4"
"d2:0e:c3:03:53:70","-53","4"
"d2:0e:c3:03:53:70","-52","4"
"d2:0e:c3:03:53:70","-53","4"
"d2:0e:c3:03:53:70","-53","4"
"d2:0e:c3:03:53:70","-53","4"
"d2:0e:c3:03:53:70","-53","4"
"d2:0e:c3:03:53:70","-53","4"
"d2:0e:c3:03:53:70","-51","4"
"d2:0e:c3:03:53:70","-53","4"
"d2:0e:c3:03:53:70","-52","4"
"d2:0e:c3:03:53:70","-52","4"
"d2:0e:c3:03:53:70","-51","4"
"dc:a6:32:61:a7:01","-15","4"
"dc:a6:32:61:a7:01","-17","4"
"dc:a6:32:61:a7:01","-15","4"
"dc:a6:32:61:a7:01","-13","4"
"dc:a6:32:61:a7:01","-12","4"
"dc:a6:32:61:a7:01","-12","4"
"dc:a6:32:61:a7:01","-14","4"
"ea:fc:98:f7:c7:df","-49","4"
"ea:fc:98:f7:c7:df","-50","4"
"ea:fc:98:f7:c7:df","-50","4"
"ea:fc:98:f7:c7:df","-49","4"
"ea:fc:98:f7:c7:df","-47","4"
"ea:fc:98:f7:c7:df","-49","4"
"ea:fc:98:f7:c7:df","-51","4"
"ea:fc:98:f7:c7:df","-49","4"
"ea:fc:98:f7:c7:df","-51","4"
"ea:fc:98:f7:c7:df","-49","4"
"ea:fc:98:f7:c7:df","-48","4"
"ea:fc:98:f7:c7:df","-49","4"
"ea:fc:98:f7:c7:df","-49","4"
"ea:fc:98:f7:c7:df","-51","4"
"ea:fc:98:f7:c7:df","-47","4"
"ea:fc:98:f7:c7:df","-49","4"
"ea:fc:98:f7:c7:df","-51","4"
"ea:fc:98:f7:c7:df","-49","4"
"ea:fc:98:f7:c7:df","-47","4"
"ea:fc:98:f7:c7:df","-49","4"
"dc:a6:32:61:a7:01","-15","4"
"dc:a6:32:61:a7:01","-16","4"
"dc:a6:32:61:a7:01","-12","4"
"dc:a6:32:61:a7:01","-13","4"
"14:cb:19:94:94:97","-67","4"
"14:cb:19:94:94:97","-67","4"
"14:cb:19:94:94:97","-66","4"
"14:cb:19:94:94:97","-64","4"
"70:cd:0d:df:31:9e","-46","4"
"94:64:24:9a:e1:b0","-45","15"
"dc:a6:32:30:04:38","-63","4"
"b6:b5:24:0b:47:0b","-52","4"
"dc:a6:32:61:a7:01","-61","4"
"dc:a6:32:61:a7:01","-52","4"
"dc:a6:32:61:a7:01","-50","4"
"dc:a6:32:61:a7:01","-53","4"
"dc:a6:32:61:a7:01","-56","4"
"dc:a6:32:61:a7:01","-57","4"
"dc:a6:32:61:a7:01","-57","4"
"dc:a6:32:61:a7:01","-57","4"
"dc:a6:32:61:a7:01","-56","4"
"dc:a6:32:61:a7:01","-54","4"
"dc:a6:32:61:a7:01","-53","4"
"dc:a6:32:61:a7:01","-44","4"
"dc:a6:32:61:a7:01","-16","4"
"dc:a6:32:61:a7:01","-17","4"
"dc:a6:32:61:a7:01","-16","4"
"dc:a6:32:61:a7:01","-17","4"
"dc:a6:32:61:a7:01","-13","4"
"dc:a6:32:61:a7:01","-13","4"
"dc:a6:32:61:a7:01","-13","4"
"dc:a6:32:61:a7:01","-13","4"
"dc:a6:32:61:a7:01","-17","4"
"dc:a6:32:61:a7:01","-16","4"
"dc:a6:32:61:a7:01","-16","4"
"dc:a6:32:61:a7:01","-16","4"
"72:82:e4:3b:d2:9c","-35","4"
"12:f2:f3:60:ff:c7","-35","4"
"12:f2:f3:60:ff:c7","-37","4"
"b0:68:e6:11:21:a3","-47","4"
"b0:68:e6:11:21:a3","-45","4"
"70:cd:0d:df:31:9e","-48","4"
"b0:68:e6:11:21:a3","-43","4"
"b0:68:e6:11:a3:67","-54","4"
"26:79:4c:5a:da:0e","-27","4"
"d2:3d:ec:e0:e8:c4","-29","4"
"d2:3d:ec:e0:e8:c4","-36","4"
"b0:68:e6:11:a3:67","-51","4"
"b0:68:e6:11:a3:67","-50","4"
"b0:68:e6:11:a3:67","-51","4"
"dc:a6:32:30:04:38","-62","4"
"d6:9a:a7:5e:56:b7","-39","4"
"d6:9a:a7:5e:56:b7","-43","4"
"d6:9a:a7:5e:56:b7","-37","4"
"d6:9a:a7:5e:56:b7","-38","4"
"d6:9a:a7:5e:56:b7","-34","4"
"d6:9a:a7:5e:56:b7","-37","4"
"dc:a6:32:61:a7:01","-63","4"
"dc:a6:32:61:a7:01","-63","4"
"dc:a6:32:61:a7:01","-63","4"
"dc:a6:32:61:a7:01","-60","4"
"dc:a6:32:61:a7:01","-60","4"
"dc:a6:32:61:a7:01","-62","4"
"dc:a6:32:61:a7:01","-62","4"
"dc:a6:32:61:a7:01","-58","4"
"dc:a6:32:61:a7:01","-56","4"
"dc:a6:32:61:a7:01","-56","4"
"dc:a6:32:61:a7:01","-60","4"
"dc:a6:32:61:a7:01","-55","4"
"dc:a6:32:61:a7:01","-56","4"
"dc:a6:32:61:a7:01","-41","4"
"dc:a6:32:61:a7:01","-45","4"
"dc:a6:32:61:a7:01","-16","4"
"dc:a6:32:61:a7:01","-16","4"
"dc:a6:32:61:a7:01","-16","4"
"dc:a6:32:61:a7:01","-16","4"
"dc:a6:32:61:a7:01","-15","4"
"dc:a6:32:61:a7:01","-16","4"
"dc:a6:32:61:a7:01","-14","4"
"dc:a6:32:61:a7:01","-16","4"
"dc:a6:32:61:a7:01","-17","4"
"dc:a6:32:61:a7:01","-18","4"
"dc:a6:32:61:a7:01","-17","4"
"dc:a6:32:61:a7:01","-16","4"
"9e:0a:d2:78:ac:2b","-50","4"
"9e:0a:d2:78:ac:2b","-52","4"
"ee:63:9c:33:bc:42","-50","4"
"ee:63:9c:33:bc:42","-51","4"
"fa:c2:9d:9f:b7:9b","-55","4"
"fa:c2:9d:9f:b7:9b","-52","4"
"fa:c2:9d:9f:b7:9b","-46","4"
"fa:c2:9d:9f:b7:9b","-48","4"
"94:64:24:9a:e1:b0","-49","15"
"52:cc:42:6e:a9:bc","-61","4"
"12:98:83:60:b2:d3","-60","4"
"dc:a6:32:30:04:38","-64","4"
"dc:a6:32:30:04:38","-55","4"
"b2:ed:cb:ff:85:42","-24","4"
"b2:ed:cb:ff:85:42","-27","4"
"3a:25:ab:bf:51:d6","-55","4"
"b6:fb:95:0d:8a:7c","-48","4"
"b6:fb:95:0d:8a:7c","-51","4"
"b6:fb:95:0d:8a:7c","-49","4"
"b6:fb:95:0d:8a:7c","-50","4"
"dc:a6:32:61:a7:01","-44","4"
"b6:fb:95:0d:8a:7c","-57","4"
"dc:a6:32:61:a7:01","-42","4"
"dc:a6:32:61:a7:01","-44","4"
"dc:a6:32:61:a7:01","-16","4"
"dc:a6:32:61:a7:01","-16","4"
"dc:a6:32:61:a7:01","-16","4"
"dc:a6:32:61:a7:01","-15","4"
"dc:a6:32:61:a7:01","-13","4"
"dc:a6:32:61:a7:01","-13","4"
"dc:a6:32:61:a7:01","-13","4"
"dc:a6:32:61:a7:01","-15","4"
"dc:a6:32:61:a7:01","-17","4"
"dc:a6:32:61:a7:01","-58","4"
"8e:7f:29:d3:9e:91","-60","4"
"8e:7f:29:d3:9e:91","-62","4"
"8e:7f:29:d3:9e:91","-59","4"
"8e:7f:29:d3:9e:91","-61","4"
"ce:2c:e9:b1:80:f8","-55","4"
"ce:2c:e9:b1:80:f8","-55","4"
"ce:2c:e9:b1:80:f8","-57","4"
"ce:2c:e9:b1:80:f8","-54","4"
"ce:2c:e9:b1:80:f8","-57","4"
"ce:2c:e9:b1:80:f8","-54","4"
"ce:2c:e9:b1:80:f8","-55","4"
"ce:2c:e9:b1:80:f8","-56","4"
"ce:2c:e9:b1:80:f8","-61","4"
"ce:2c:e9:b1:80:f8","-61","4"
"0e:c1:e6:19:4e:8e","-52","4"
"2c:db:07:ec:ef:28","-29","4"
"88:66:5a:36:3f:11","-58","4"
"88:66:5a:36:3f:11","-59","4"
"88:66:5a:36:3f:11","-54","4"
"88:66:5a:36:3f:11","-55","4"
"88:66:5a:36:3f:11","-60","4"
"dc:a6:32:30:04:38","-63","4"
"dc:a6:32:30:04:38","-61","4"
